imp_date,qimei,play_vv_begin,video_play_time,top_vv,top_time
20210606,4560c649af366832f2850632100016914b04,5490,127009.813,1,1
20210606,3bac9c764d381270506f0ebe100010814c16,5882,127005.06,1,1
20210606,30e816412117aa7d,4298,126981.77,1,1
20210606,020085bbd7199d90,5946,126785.134,1,1
20210606,18880ca9f269a55e,6178,126777.069,1,1
20210606,019fea214de10ca4,6559,126774.377,1,1
20210606,13a0228536ed3826,4686,126725.291,1,1
20210606,098bef22a4c6101b,5445,126720.757,1,1
20210606,d601811b3e8e7f11,4560,126664.939,1,1
20210606,dd79665165bd6638,5870,126587.174,1,1
20210606,7041817c39b99ced4e153349100010c15401,5494,126513.118,1,1
20210606,32c8fbbcc337d847d54e092210001a114c12,5221,126489.035,1,1
20210606,2f19ccab74c4f7f1,5168,126391.789,1,1
20210606,89a6bf9523c5e68781022d66100017b15111,5980,126374.434,1,1
20210606,4b517fcb186155b5,5672,126372.295,1,1
20210606,7126483565c4873530f4d3f510001b814802,3977,126346.807,1,1
20210606,18e3e66fb4715626,4626,126309.971,1,1
20210606,7f3fd9862f059775,5150,126270.487,1,1
20210606,7716ab5a06f55886,5022,126265.975,1,1
20210606,cf8d4d238ced4fd4125b7fde100010514c09,6391,126188.649,1,1
20210606,8.66091E+14,1813,126102.7,1,1
20210606,8705c81978ee569c,4893,126000.23,1,1
20210606,10fc3fd1314f00b9731785ed10001c415410,3762,125961.08,1,1
20210606,ae030eb8448b8776337b60e7100018214c11,6095,125954.859,1,1
20210606,e7dc40b1935caee7,5052,125778.914,1,1
20210606,9fa40c85-1d5f-42c3-b144-54d94515e944,32,125753.382,1,1
20210606,f01e8aec-56eb-44e1-9a27-fc3ce8cea80b,86,125660.366,1,1
20210606,616edbd725f2402709cb6aeb100017914c0a,5017,125648.833,1,1
20210606,ed9247cc7eedf241,5285,125635.151,1,1
20210606,d9167d2b81ca97445eac47da10001051471b,5849,125612.042,1,1
20210606,2164e228fecf652c,5047,125524.783,1,1
20210606,5edd5d695dc9283d,6111,125435.135,1,1
20210606,39e87ca393298127,6779,125369.723,1,1
20210606,e59a7990a4516821,5959,125349.721,1,1
20210606,e1e76dfbc3e887bea63f1a04100011814903,4878,125346.969,1,1
20210606,23dec8fb563b5071,5329,125248.134,1,1
20210606,2067191bd991949d,6370,125181.361,1,1
20210606,a8e2fbca2bbeed48,5722,125171.774,1,1
20210606,0c1787f82bc146af,5382,125142.847,1,1
20210606,c982f371ea7ae09e,4769,125108.635,1,1
20210606,697ab39e97f6a5f0cec27c52100017914c12,4595,125074.323,1,1
20210606,97590f2f1ce92f4d,5219,125040.444,1,1
20210606,07a9ff8a392c9314,4766,124995.965,1,1
20210606,16bf4c287d9fceb939de7cc8100010514c17,5345,124801.707,1,1
20210606,a0000064ef1473,5782,124765.861,1,1
20210606,8.63049E+14,3156,124650.037,1,1
20210606,9f3cf13e9f91873f,5342,124603.497,1,1
20210606,c911bb55100458c1,4576,124526.005,1,1
20210606,10dd59d3964e0f9d8d593ee0100015f14c0a,5234,124441.961,1,1
20210606,846027dd6c158d570684769b100016714c09,6350,124355.145,1,1
20210606,ae541902e874775fe9d0679810001ec1510b,5943,124246.573,1,1
20210606,8.65195E+14,4738,124239.426,1,1
20210606,6b0f1b1e3debaef5,5723,124151.933,1,1
20210606,88870ac914f05725fc63e84810001a814b0f,5943,124015.739,1,1
20210606,8.69702E+14,5628,123913.952,1,1
20210606,4456e462427f343fa434c513100014614a07,5377,123799.03,1,1
20210606,b6c340c8c4d837fe,6342,123743.695,1,1
20210606,8.61744E+14,5416,123660.13,1,1
20210606,a00000715f5203,6492,123621.797,1,1
20210606,8.6838E+14,5468,123617.87,1,1
20210606,0bdc6b20d6e23e5f,4075,123611.545,1,1
20210606,993601ef2c19a34a5de288bd100018014c0a,5887,123553.616,1,1
20210606,c3a61a3e98a88ef63ac8e5ba100012c14c12,5307,123463.165,1,1
20210606,c96cd9785c9b7760,4850,123456.858,1,1
20210606,b540a460851331f3145046771f31410c,4739,123310.926,1,1
